id,word,dialect,definitionEnglish,definitionNative,pos,domain,subdomain,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,additionalSentences,relatedWords,nounClass,verbExtensions,tamMarkers,register,audience,sourceType,provenance,copyright,dateCreated,createdBy
td5x11wt8,Eryogero,Mixed,Bathroom for bathing,ekisika kyokogera mu,N,DLY,,Eryogero ry'ecumi muno.,The bathroom is very clean.,Agenzire mu ly'ogero kwoga.,she has gone in the bathroom to take a shower.,[],ekinabiro,,[],[],general,general,original_composition,,Project_License,2026-02-20 19:18:19.867+00,1lzzop9e4
tdryigism,Kumalirra,Mixed,Finally,kuhendera,V,NAR,NAR-ANI,hakumalirra gwali murundi gwange gwokubanda kurora entale nerra yatandika kutekaniza omulingo gundi gwokutungiramu ebyokulya.,"Finally it was my first time to see the lion crying started planning for another way of getting food. ","nyowe nkasiga embogo nekiisa kimu, entale neraara enjara nidugayo.",i left the Buffalo surviving that day and the lion sleeps empty stomach i leave.,[],emalirra,,[],[],informal,general,original_composition,,Project_License,2026-02-19 14:11:51.912+00,7ldvwi8jh
teewm0e5k,Abeeri,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
tf8u7z9kr,OKUGARAGARA,Mixed,"Time for Mourning ","Okuleka kusemererwa, Okwezinda Omubujune",V,,,OKUGARAGARA ngeso yaitu Bunyoro na Tooro Omuntu abw'afeerwa amara ebiro bisatu rundi Bbina atarukwegonza ali mubujune.,To mourn a relative for three or four days is our practice in Bunyoro and Tooro.,OKUGARAGARA Omukama  obwaba atuulize kutwara ebiro Mwenda hanyuma batabaaza Omuguta.,"MOURNING for A king takes Nine days there after is Buried. ",[],"Obujune, kuleka kulya,  kusemererwa busaho, Kwezinda.",,[],[],general,general,original_composition,,Project_License,2026-02-20 18:03:04.265+00,ruom6sfi4
tg2o857yj,Omukubi,Mixed,sauce(is a liquid or semi liquid food),Omukubi gwokulisa ebyokulya.,V,DLY,,Nakoza omukubi gwebihimba.,He is eating the bean souce.,Omukubi gunuzire muno.,The souce is very sweet.,[],"omuneneserezo(fried souce with out soup e.g meat,beans,ground nuts)",,[],[],general,general,original_composition,,Project_License,2026-02-21 12:53:37.678+00,1lzzop9e4
tg4ryq61v,Orujungu,Mixed,English,,N,EDU,,Nabaza orujungu.,He/ She is talking in English,Tamanyire rujungu.,Does not know English.,[],orulimi rw'abajungu(language for Europeans),,[],[],general,general,original_composition,,Project_License,2026-02-18 13:40:25.676+00,wmqgng8ap
th6t0n1ck,EMPAAKO,Runyoro,Pet name in Tooro and Bunyoro,Ekitinisa  ky'omuntu Omunsi ya Bunyoro na Tooro,N,,,EMPAAKO yange niyo Apuuli,My Pet name is Apuuli,EMPAAKO y'Omukazi wange niyo Abboki,Abboki is pet name for my wife,[],"Amooti, Adyeri, Akiiki, Abwoli,Atwoki,Atenyi,Abboki, Acaali, Apuuli, Araali, Bbala,  Okaali",,[],[],general,general,original_composition,,Project_License,2026-02-18 09:07:13.46+00,ruom6sfi4
thfqxfsvg,Ebiserere,Mixed,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 13:37:14.322+00,7ldvwi8jh
tho6s4fnp,Emigenzo,Mixed,"Kingship Customs ",Emigenzo Y'obukama,N,,,Emingenzo  etanga omukama okutainamira mufu nobwakuba okuziika,"Customs deter the king not to pay last respect nor  attend Burial  ",Emigenzo  eragira omukama okwinura ebibamuhaire,The King gives from what People have given him,[],"Kugaba,Kukonyera",,[],[],general,general,original_composition,,Project_License,2026-02-17 05:51:59.191+00,ruom6sfi4
tiughp2l3,NYIN'EKA TARABA HAKANYUMA,Mixed,"Head of the family  when going to venture  does not go through the backdoor. ",Nyin'Eka taraba hakanyuma baitu irembo obwaba nagenda kuserra itungo.,V,,,"Mwana wange oli mwojo, kinu okyege; otaliraba hakanyuma obworabaga nogenda orugendo. ","My son, note this; when you will be going out for an adventure never go through back door.",Itungo liretwa irembo nahabweki anyakuliserra  nasemerra kulitemera omuhanda obwaba  nagenda.,"Wealth comes through the main entrance, it is important for the one going out for it to open the way for it to come in.  ",[],EMIZIZO,,[],[],general,general,original_composition,,Project_License,2026-02-21 13:35:12.034+00,ruom6sfi4
