English,Nyoro
"They started to argue among themselves, “What shall we say? If we answer, ‘From God,’ he will say to us, ‘Why, then, did you not believe John?’ ","Okubatiza kwa Yohana kukaruga nkaha? Omu iguru, nandiki omu Bantu? Bakaguzangana bonka, nibagamba ngu Omu iguru; aratugambira ati Mara kiki ekyabatangire okumuikiriza? "
" And now I give you a new commandment: love one another. As I have loved you, so you must love one another. ",Ekiragiro ekihyaka nimbaha ngu Mugonzanganege. 
For Christ died,"Baitu na Kristo akabonabonesebwa obwebibi omurundi ogumu, ahikirire habwa abatali bahikirire, atulete hali Ruhanga; obuyaisirwe omu mubiri, baitu yayomezebwa omu Mwoyo; "
"The next day, which was a Sabbath, the chief priests and the Pharisees met with Pilate ","Kandi nyenkya, nikyo kiro ekirukukuratira Ekyokutekaniza, banyakatagara abakuru Nabafalisayo bakesoroza hali Pirato, "
"If I thank God for my food, why should anyone criticize me about food for which I give thanks?”","Baitu obundaba nindyaho nokusima, kiki ekinjumisa obweki ekinsimira. "
" and he answered, “The knowledge of the secrets of the Kingdom of God has been given to you, but to the rest it comes by means of parables, so that they may look but not see, and listen but not understand.","Yagamba ati Inywe mukahebwa okumanya ensita ezobukama bwa Ruhanga: baitu abandi zibacwerwa omu nfumo; obubabona batarora, obubahu’ra batetegereza. "
" Before Jesus began his work, John preached to all the people of Israel that they should turn from their sins and be baptized. ","Yohana obuyabandize okutebeza okubatizibwa okwokwegarukamu hali abantu bona aba Isareri, uwe atakaizire. "
 I assure you that whoever does not receive the Kingdom of God like a child will never enter it.” ,"Mananukwo nimbagambira nti Wena ataliikiriza obukama bwa Ruhanga nkomwana omuto, atalibutahamu na kake. "
"They answered just as Jesus had told them, and the crowd let them go. ",Babagambira nka Yesu okuyagambire: babaleka. 
He told them what had happened and sent them off to Joppa.,"obuyamazire okubamanyisa ebigambo byona, yabatuma Yopa."
"Judas went straight to Jesus and said, “Peace be with you, Teacher,” and kissed him.","Ahonaho yaija hali yesu, yamugambira ati Mirembe, Rabi; yamunywegera muno. "
"A man in the crowd answered, “Teacher, I brought my son to you, because he has an evil spirit in him and cannot talk. ","Omu hali ekitebe yamugarukamu ati Omwegesa, ndesere haliwe omwana wange aloho omuzimu ogutarukugamba; "
"The Lord is not slow to do what he has promised, as some think. Instead, he is patient with you, because he does not want anyone to be destroyed, but wants all to turn away from their sins.","Mukama tarukuikara obwomuragogwe nkabandi okubatekereza okuikara; baitu nagumisiriza habwanyu, atarukugonza omuntu wena okubura, baitu bona bahike omu kwegarukamu. "
"In the past you did not know God, and so you were slaves of beings who are not gods. ","Baitu omu biro obumukaba mutamanyire Ruhanga, mukaba muli bairu rubale babo abatali baruhanga omu kuhangwa: "
"When you give thanks to God in spirit only, how can ordinary people taking part in the meeting say “Amen” to your prayer of thanksgiving? They have no way of knowing what you are saying. ","Baitu oraba nosima omu mwoyo, anyakuikalire omu kiikaro kyabatamanyire aragamba ata Amina, obwomara okusima, baitu tamanyire ekyogamba? "
"The High Priest and the whole Council can prove that I am telling the truth. I received from them letters written to fellow Jews in Damascus, so I went there to arrest these people and bring them back in chains to Jerusalem to be punished.","Kandi na nyakatagara omukuru wabu nuwe kaiso wange obwebi, nabakuru bona: kandi nabo bakampa ebaruha hali bene baitu, nagenda Damasiko, okubaleta baboherwe hali Yerusalemu abo bona abakaba bali oku, okubonabonesebwa. "
How happy that servant is if his master finds him doing this when he comes home! ,"Anyina omugisa omuiru ogu rubale, mukamawe obwaliija owalisanga nakora ati. "
"Listen! I stand at the door and knock; if any hear my voice and open the door, I will come into their house and eat with them, and they will eat with me. ","Dora, nyemerire ha ruigi ninyeranga: omuntu wena obwalihu'ra iraka lyange nakinguraho oruigi, nditaha namberali, kandi ndirya hamu nauwe, nauwe hamu nanyowe. "
"Amazed and confused, they kept asking each other, “What does this mean?”",Bona batangara nibagurukyagurukya nibagambangana bonka ngu Mara kinu kiki? 
“I have told you this while I am still with you. ,Ebigambo ebi mbagambira nkiri nainywe. 
"The rich man answered, ‘That is not enough, father Abraham! But if someone were to rise from death and go to them, then they would turn from their sins.’ ",banabi; babahu’rege abo. Yagamba ati Nangwa tata Iburahimu: baitu omuntu arugire omu bafu araba nagenda halibo balyegarukamu. 
"Do not get drunk with wine, which will only ruin you; instead, be filled with the Spirit. ","Kunu mutalitamira amarwa agorumu okwesisa, baitu muijule Omwoyo; "
But not a single hair from your heads will be lost. ,Kandi nakasoke akamu akaha mitwe yanyu tikalibura na kake. 
And he kept begging Jesus not to send the evil spirits out of that region.,yamwesengereza muno atagibinga omu nsi egi. 
and at once got into a boat with his disciples and went to the district of Dalmanutha.,"Ahonaho yagwe’ra omu bwato nabegeswabe, yaija omu nsi eya Daramanusa."
"Jesus heard them and answered, “People who are well do not need a doctor, but only those who are sick. I have not come to call respectable people, but outcasts.”","Kandi Yesu obuyahulire, yabagambira ati Abomire tibarukuse’ra mufumu, rundi abarwaire: ntaije okweta abahikirire, abaitu abasisi."
The seventy-two,"Kandi ensanju bakagaruka nokusemererwa, nibagamba ngu Mukama waitu, nemizimu nayo netuhu’ra omu ibara lyawe. "
"But don't listen to them, because there are more than forty men who will be hiding and waiting for him. They have taken a vow not to eat or drink until they have killed him. They are now ready to do it and are waiting for your decision.”","Nukwo iwe otabaikiriza baitu haroho abantu hali bo okukira amakumi ana abamweserekerire, abarahire ekirahiro okutalya nubwakuba okunywa okuhikya obubalikamuita: kandi hati bunu betekanize nibategereza ekigambo kyawe. "
"So we are sending our brother with them; we have tested him many times and found him always very eager to help. And now that he has so much confidence in you, he is all the more eager to help. ","Kandi tukatuma hamu nabo mugenzi waitu outwalengere emirundi nyingi. Omwekambi okukira ira, obwokwesiga okwingi okwanyinakwo halinywe. "
"They started making fun of him, so he put them all out, took the child's father and mother and his three disciples, and went into the room where the child was lying. ","Bamuseka muno. Baitu obuyabaturukize bona, yatwara ise omuisiki na nyina, nabo abakaba bali nauwe, yatahamu omuisiki namberakabali. "
