english,lunyoro
shining star,Atwooki
born on a night with stars,Atwooki
beautiful child,Ateenyi
lovely girl in the family,Apuuli
center of attraction and love in the family,Apuuli
God answered the parents prayers of having a baby girl,Apuuli
princely sign of royalty,Amooti
sons and daughters of kings and chiefs,Amooti
the one who follows twins,Akiiki
firstborn who bears responsibilities of siblings,Akiiki
sign of sentiment,Akiiki
parents failed to get a child after seeking spiritual intervention,Adyeeri
fortunate truth,Adyeeri
replica of someone in the family or ancestors,Acaali
destroyer warrior usually for sons of chiefs,Abaala
beloved child out of strong love between parents,Abbooki
only surviving child after mother lost many children,Araali
I lied to you,Abwooli
woman who conceives but continues having periods,Abwooli
royalty only for the King in Kitara customs,Okaali
honorific praise name,Empaako
praise name given at birth,Empaako
what is your empaako,Empaako yawe nkihi
my empaako is Atwooki,Empaako yange ngu Atwooki
my empaako is Ateenyi,Empaako yange ngu Ateenyi
my empaako is Apuuli,Empaako yange ngu Apuuli
my empaako is Amooti,Empaako yange ngu Amooti
my empaako is Akiiki,Empaako yange ngu Akiiki
my empaako is Adyeeri,Empaako yange ngu Adyeeri
my empaako is Acaali,Empaako yange ngu Acaali
my empaako is Abaala,Empaako yange ngu Abaala
my empaako is Abbooki,Empaako yange ngu Abbooki
my empaako is Araali,Empaako yange ngu Araali
my empaako is Abwooli,Empaako yange ngu Abwooli
my empaako is Okaali,Empaako yange ngu Okaali
what is your name,Iwe wiitwa ata
my name is,Nyowe niitwa
greet me by my empaako,Nkwetaga okunsiima n'Empaako yange
