english,lunyoro
She speaks as sweetly as noble ladies do.,Orra muno nk’abakazi.
You cry as much as women do. (Idiomatically: stop crying like women.),Orra muno nk’abakazi.
Kaija gets tired in a woman like manner as his elder brother does.,Araire kubi nkaijo oku yaraire.
He slept as uncomfortably as he did yesterday.,Araire kubi nkaijo oku yaraire.
e does not speak so clearly as Basaaliza does.,basaija tibarra muno okwingana abakazi.
[en do not weep so much as women do.,basaija tibarra muno okwingana abakazi.
lugasa cannot get tired in such a woman like manner as Mugenyi does.,araire kubi okwingana ijo oku yaraire.
e has not slept so uncomfortably as he did yesterday.,araire kubi okwingana ijo oku yaraire.
car travels faster than a train.,bakazi barra muno okukira abasaija.
‘omen weep more than men.,bakazi barra muno okukira abasaija.
ugenyi gets more tired like women than Mugisa does.,raire kubi muno okukira ijo oku yaraire.
> slept much more uncomfortably than he did yesterday.,raire kubi muno okukira ijo oku yaraire.
it. Bagonza exceeds Balinda in clear speech.),otoka ekiza egaali y’omwika kwiruka muno.
car travels faster than a train.,otoka ekiza egaali y’omwika kwiruka muno.
Go to your father’s home.,aba: Abaire naaruga gwomba Bigirwenkya.
He was coming from the area where Bigirwenkya stays.,aba: Abaire naaruga gwomba Bigirwenkya.
He was coming from the area where Bigirwenkya stays.,ru ya: Etaara eri haiguru y’emeeza.
The lamp is over the table.,ru ya: Etaara eri haiguru y’emeeza.
When the sun set they got lodged.,obu: Izooba obu lyagwire baagoonya.
He speaks like his father.,oku: Baza oku abasaija babaza.
Speak as men do.,oku: Baza oku abasaija babaza.
He came by bus.,hamu na: Bakagenda hamu na nyina.
Both mother and child went.,hamu na: Bakagenda hamu na nyina.
Rwabudongo and Ireeta offer the same sacrifice.,hamu na: Embuzi hamu n’ente bisoro by’omumaka.
Goats and cows are domestic animals.,hamu na: Embuzi hamu n’ente bisoro by’omumaka.
Give me either meat or fish.,kandi: Kateesigwa mugara kandi murofu.
Kateesigwa is both lazy and dirty.,kandi: Kateesigwa mugara kandi murofu.
He is cheeky as well as stupid.,in’ekindi: Muhoole kandi n’ekindi mudoma.
ning sentences of co-ordinate rank,Vyowe nkamurora baitu uwe atandole.
saw him but he did not see me.,Vyowe nkamurora baitu uwe atandole.
Te caned her but all the same she did not repent.,\kamuteera baitu nikyo kimu atazire.
hhe does not prepare meals for him though he is the one who buys food.,‘amucumbira kandi kunu ebyokulya nuwe abigura.
He is looking down upon him whereas he is the one who taught him.,Naamugaya kunu obu nu nuwe yamwegeseze.
He said that he is ill.,Agizire ngu murwaire.
He said that he is ill.,noobwakubaire ngu:
(c) Positive form with obu,Obu akubaire aina omulimo akugukuhaire.
If he had had a job he would have given it to you.,Obu akubaire aina omulimo akugukuhaire.
(d) Negative form with obu,Obu akubaire ataina burwaire taakugiire mwirwarro.
If he had had no illness he would not have gone to hospital.,Obu akubaire ataina burwaire taakugiire mwirwarro.
ositive form with obu,Obu nkubaire ndi mwomeezi nkukusendekeriize.
If I had been healthy I should have seen you off.,Obu nkubaire ndi mwomeezi nkukusendekeriize.
Negative form with obu,Obu nkubaire ntali murwaire nkukusendekeriize.
If I had not been ill I should have seen you off.,Obu nkubaire ntali murwaire nkukusendekeriize.
(c) Positive form with obu,Obu waakubaire ompaire omulimo naakugukozire.
If you had given me some work I should have done it.,Obu waakubaire ompaire omulimo naakugukozire.
If you had given me some work I should have done it.,Obu waakubaire otuhaire omulimo twakugukozire.
If you had given us some work we should have done it.,Obu waakubaire otuhaire omulimo twakugukozire.
(d) Negative form with obu,Obu waakubaire otampaire mulimo tinaakukozire kantu.
If you had not given me some work I should not have done anything.,Obu waakubaire otampaire mulimo tinaakukozire kantu.
If you had not given me some work I should not have done anything.,Obu waakubaire otatuhaire mulimo titwakukozire kantu.
If you had not given us some work we should not have done anything.,Obu waakubaire otatuhaire mulimo titwakukozire kantu.
Positive form with obu,Obu naakubaire nyina enju naakumuraize.
If I had had a house I should have put him up.,Obu naakubaire nyina enju naakumuraize.
Negative form with obu,Obu naakubaire ntaina mirimo naakumusendekeriize.
If I had not had a lot of work I should have seen him off.,Obu naakubaire ntaina mirimo naakumusendekeriize.
) Positive form with obu,Obu naakubaire ndi mwomeezi naakukusendekeriize.
If I had been healthy I should have seen you off.,Obu naakubaire ndi mwomeezi naakukusendekeriize.
) Negative form with obu,Obu naakubaire ntali murwaire naakukusendekeriize.
If I had not been ill I should have seen you off.,Obu naakubaire ntali murwaire naakukusendekeriize.
troductiory word and the verb okuba may be omitted without affecting the,obu naakubaire ntali murwaire naakumusendekeriize the
