id,native,english,domain,subdomain,tense,dialect,dateCreated,createdBy
02ekdrtqy,Gavumenti ehereza obukonyezi hali abalimi,Government provides subsidies to farmers,ECO,,,Rutooro,2026-02-20 15:31:21.872+00,lpys3ifza
02hmucp68,Enyama hamu na amata bigaba ebirisa mumubiri gwomuntu.,Meat and milk are a source of proteins  in the human body.,AGR,AGR-LVS,Present,Rutooro,2026-02-20 08:10:48.893+00,mu7n2sm1v
04ucdkfk3,Omwana omwojo taliira Musafuliya.,A boy is prohibited to eat from  a source pun .,CUL,CUL-TAB,Present continuous,Rutooro,2026-02-22 07:56:13.497+00,ruom6sfi4
0c1jsuump,Emilingo eri nyingi ekozesebwa okutaaha akatale,Many ways can be used in market penetration,ECO,,,Rutooro,2026-02-24 12:25:12.315+00,lpys3ifza
0fviwc2t0,Endyanga eyo erimu embibo yange.,That bag contains my seeds.,AGR,,,Rutooro,2026-02-24 10:49:49.196+00,6rp3pc92m
0itgnpm2v,John aine ebisobere amubiri gwe.,John has disability.,HLT,HLT-MEN,"Present ",Rutooro,2026-02-26 11:09:14.922+00,nus6yvak7
0o5w40abl,MUSIIME MUKAMA BAITU MURUNGI,Give thanks to the Lord for He is good.,SPR,,Present continuous,Rutooro,2026-02-24 08:29:01.775+00,ruom6sfi4
0x68yv9o3,Itaka erirungi riine ekirisa.,Good soil has nutrients.,AGR,AGR-LND,Present,Rutooro,2026-02-20 13:55:59.822+00,mu7n2sm1v
0yzjviwnz,Abaguzi bataito muno,"Buyers are very few ",ECO,,Noun,Rutooro,2026-02-20 10:36:34.97+00,lpys3ifza
0zgkbu9v0,"Omukubi nyakairagura murungi omubwomezi bwaitu nka, omubwiga.",Vegetables are good to our health.,AGR,,,Rutooro,2026-02-24 10:52:49.713+00,6rp3pc92m
10qew983p,pamba nikyo ekirimwa ekibyarwa habwokutunda kwonka.,Cotton is a cash crop.,AGR,,,Rutooro,2026-02-24 10:42:40.044+00,6rp3pc92m
10st8e4mo,Kusemererwa akugenda omwirwariro kufuna obujajabi.,Joy is going in the hospital for treatment.,HLT,,"Present ",Rutooro,2026-02-26 09:26:47.042+00,nus6yvak7
11fdqtgbz,Abasubuzi boona baina okusasira omusolo gw'ebintu byabu,All trader must pay taxes on their goods,ECO,,,Rutooro,2026-02-20 11:50:09.322+00,lpys3ifza
11u4chp6t,Abaguzi baina kuba besigwa hali abaguzi baabu,Customers must have trust with their traders,ECO,,,Rutooro,2026-02-24 10:05:23.483+00,lpys3ifza
13ulwan3p,Ky'0mugaso muno kwekebenza akahuuka k'omunywerero (sirimu) n'omukazi wawe rundi omusaija wawe hamu n'abaana bawe omumaka.,It is very important to test for HIV/AIDs with your partner and your children at home.,HLT,,"Present ",Rutooro,2026-02-25 13:12:41.461+00,nus6yvak7
16s9s9zbg,biretaho kuhingisa sente obu batunda ebintu aheru yeihanga nka enyama y'ente.,Source of foreign exchange due to exports like beef.,AGR,,,Rutooro,2026-02-24 13:17:18.042+00,6rp3pc92m
19j1enj92,Eby'entuga bya Bunyoro byasigikiraaga hansibika n'itaka,Wealth was based on cattle and land,ECO,,,Rutooro,2026-02-24 10:24:35.394+00,lpys3ifza
1bpwbezrx,Akasumi kanu haroho emirobyo ekuyamba abaguzi hamu n'abasubuzi okugura n'okutunda ebintu byabu,"online marketing is helping buyers and sellers to connect together for business ",ECO,,,Rutooro,2026-02-21 11:54:16.796+00,lpys3ifza
1c5fj44g8,Ente ziha eka amata.,Cows give milk for the family.,AGR,AGR-LVS,Present,Rutooro,2026-02-20 12:26:10.386+00,mu7n2sm1v
1dyk2x5l2,Itaka balikozesa kuza ebimera.,Land is used for growing crops.,AGR,AGR-LVS,present,Rutooro,2026-02-21 06:35:27.23+00,mu7n2sm1v
1k1yzhlfe,Encu nibazuhura omuli ekiijongo.,Fish is kept in ponds.,AGR,AGR-FSH,present,Rutooro,2026-02-21 06:17:23.431+00,mu7n2sm1v
1kqj7upt5,"Orwihura, oruta mubafu, n'omara notamu amaizi, n'omara n'orukamura, n'omara n'obinaba, bitaba orusu orumbi omu basiganzi.","Momordica Foetida, you put in the basin, then you pour water on it, then you squeeze it, then after you bath it, it treats bad smell in the body more especially among the Youth.",HLT,HLT-TRA,"Present ",Rutooro,2026-02-20 12:31:26.366+00,nus6yvak7
1qfr9wrl0,Omukozi wa labaratore yaapima esagama kuroora obuhuka.,"The laboratory technician analysed the blood sample infection ",HLT,HLT-MOD,"Present ",Rutooro,2026-03-04 09:30:40.505+00,nus6yvak7
1tioe86lx,Kaija akagura ebintu omubwingo,"Kaija bought goodd in wholesale ",ECO,,,Rutooro,2026-02-20 12:29:37.739+00,lpys3ifza
20vq8ksj7,Irungu l'itanira n'ebimera habwa ebirisa.,Weeds compete with crops for nutrients .,AGR,AGR-CRP,present,Rutooro,2026-02-21 07:22:32.081+00,mu7n2sm1v
214gslxrv,Orwezo rusemeza okura kwebimera.,Fertilizers improve crop growth.,AGR,AGR-CRP,present,Rutooro,2026-02-21 07:03:28.021+00,mu7n2sm1v
22f77q3ft,Nkunihira kuturukya emigimba rukumi omurugonjo rwange rw'ebitooke mu busumi bunu.,I hope to produce one thousand bunches of bananas from my my banana plantation this season.,AGR,,,Rutooro,2026-02-24 10:06:49.617+00,6rp3pc92m
24x08pfdn,Enchu bazitunda mukatale.,Fish is sold in the local market.,AGR,AGR-FSH,Present,Rutooro,2026-02-20 12:07:38.441+00,mu7n2sm1v
268jlhzx0,Kiiza atunga ebigwererezi bingi omu by'obusubuzi bye,"Kiiza faces alot of financial risks in his trading ",ECO,,,Rutooro,2026-02-20 12:34:12.874+00,lpys3ifza
2akxas8ac,Kitone aine itungo eribyairwe kagadi,"Kitona has an investment in kagadi ",ECO,,,Rutooro,2026-02-20 12:20:30.493+00,lpys3ifza
2d4eyvq58,Enchu basigesa nibakoseza ebitimba.,Fish are harvested using nets.,AGR,AGR-FSH,Present,Rutooro,2026-02-20 15:40:09.352+00,mu7n2sm1v
2eqhc5fuk,abaguzi b'emigabo kuruga omu ikorre lya kakira batungire amagoba gabu,shareholders from kakira factory have received their dividends,ECO,,,Rutooro,2026-02-24 09:51:40.334+00,lpys3ifza
2ryaudwkk,Kubyara ebirimwa bibiri rundiki bihingwiremu omumusiri gumo kyetebwa enjwangani y'ebirimwa.,The growing of two or more crop species on the same piece of land is called intercropping.,AGR,,,Rutooro,2026-02-24 10:16:30.916+00,6rp3pc92m
2s7hjvfbs,Kurawa kuyambaho kunyeta kwebisoro.,Castration in animals helps them to grow fat.,AGR,,,Rutooro,2026-02-24 12:35:58.113+00,6rp3pc92m
2tvj03vbu,eby'obususbuzi ebirukukira bina obizibu by'obususma za sente,most businesses face alot of fraud,ECO,,,Rutooro,2026-02-24 09:53:50.878+00,lpys3ifza
2uuhur90l,Embarabara mu matungo kutangwa no kufuhirra.,Ticks in livestock can be controlled by spraying .,AGR,AGR-LVS,Present,Rutooro,2026-02-20 10:23:28.347+00,mu7n2sm1v
2v18ab2lr,Ibumba likwata amaizi habwa obwire buraihire.,Clay soil holds water for long.,AGR,AGR-LND,present,Rutooro,2026-02-21 06:39:54.018+00,mu7n2sm1v
2vf0w1bfy,Amaizi omu itaka gasagika kumera kwe'kibyeirwe.,Soil moisture supports plant growth.,AGR,AGR-CRP,Present,Rutooro,2026-02-20 14:37:02.268+00,mu7n2sm1v
2vwnt0ngl,Abasubuzi bakukozesa ebirobyo kiryanga ebintu byabu,"Traders are using platforms to market for their goods ",ECO,,,Rutooro,2026-02-21 11:42:38.002+00,lpys3ifza
3c14rlbha,"Omukasumi kanu,eby'obususbuzi nibikorebwa omunsi yoona","In the modern era,trade is carried out globally",ECO,,,Rutooro,2026-02-24 10:31:51.788+00,lpys3ifza
3dwqi6xdv,Omusaija tabyama nanyina .,Man is prohibited to have Sextual intercourse with his Mother.,CUL,CUL-TAB,Present continuous,Rutooro,2026-02-22 09:01:22.177+00,ruom6sfi4
3hj29vq44,Abasubuzi bakozire amagoba maigi muno omubicooli,Traders have made alot of profits from maize,,,,Rutooro,2026-02-20 12:01:02.575+00,lpys3ifza
3k52jmu40,uganda eresireho okusasura omusolo gw'obukama,Uganda has introduced royal tax among all kingdoms,ECO,,,Rutooro,2026-02-24 10:16:04.159+00,lpys3ifza
3oerpg1nh,Empaya eyo erwaire.,That hee goat is sick.,AGR,,,Rutooro,2026-02-24 11:50:41.351+00,6rp3pc92m
3qjcwwgmq,Omugusa gugumira muno enyikira yobwire.,Sorghum is a drought resistant plant .,AGR,AGR-CRP,simple present tense,Rutooro,2026-02-20 07:48:16.635+00,mu7n2sm1v
3szg6tnpk,Haroho okugwa kw'emihendo y'ebintu omwihanga,"There is a deflation of goods and services in the country ",ECO,,,Rutooro,2026-02-20 12:38:12.259+00,lpys3ifza
3v0qrfoii,"Endwara y'okweraliikira ari omuntu agira okutina n'okweraliikira muno muno n'obu hataroho enkintu ky'amaani ekimutinisa. Atina okweyongera omu maisho g'abantu, atina kwija ebijanguzo ebine abantu bainji muno. Abantu abandi abamulora batekereza ngu takugonza abantu, abaitu  nikiba kiri endwara emuli  omu mutima gwe.","Anxiety disorder. Aperson with disorder may experience condition such as excessive fear and worry. They avoid public speaking, large gathering, and may appear unfriendly.",HLT,HLT-MEN,"Present ",Rutooro,2026-02-24 14:40:16.011+00,nus6yvak7
3vsl1671y,Okusoho muno enchu ekuhinguraine ha nyanja ya Mwitanzige kiretereizeho  okukendera kwe enchu muyanja.,Over fishing on Lake Albert has led to declining of fish stocks.,AGR,AGR-FSH,simple present tense,Rutooro,2026-02-20 09:33:46.76+00,mu7n2sm1v
3xivc3qze,Eminiongoorozi gyongeza kutahamu kw'amaizi omwitaka.,Earthworms increase water infiltration in the soil.,AGR,,,Rutooro,2026-02-24 09:56:31.948+00,6rp3pc92m
3y3d50cre,Abasubuzi bahaire abaguzi Babu obuhereza bwabusa kubahokyaho ebintu baguzire,"Traders have given free delivery to their customers ",ECO,,Noun,Rutooro,2026-02-20 11:47:54.326+00,lpys3ifza
44ffvsfmq,"Mukwano erinzire obwesigwa bw'ibara ,ekireterize abaguzi kwikara nibagurayo",Mukwano has maintained it brand loyalty which ensures repurchase by buyers,ECO,,,Rutooro,2026-02-24 13:00:45.241+00,lpys3ifza
44jrlbr6f,Ekikaijo ekyo ky'embibo etabwire.,That sugarcane is of hy-breed spiece.,AGR,,,Rutooro,2026-02-24 11:00:45.049+00,6rp3pc92m
496w03miu,Embuzi zikara nyangu kutunga.,Goats are cheap to rear.,AGR,AGR-LVS,simple present tense,Rutooro,2026-02-20 07:59:56.039+00,mu7n2sm1v
49coyy139,Talemwa bbakamuha ebaruha ekworekya oku aina kusasura ebisale by'amaizi ge,"Talemwa was given an invoice to pay for his water bills ",ECO,,,Rutooro,2026-02-21 09:12:24.221+00,lpys3ifza
4do28cgut,Entaama eremereirwege kuzara ekyana.,The sheep failed to give birth to the lamb.,AGR,,,Rutooro,2026-02-24 12:33:52.605+00,6rp3pc92m
4dv33m5ud,Komwiswa ogu aliba mugaiga omunsi.,That Komwiswa will be a treasure  in the world.,NAR,NAR-PER,Future,Rutooro,2026-02-24 04:47:39.445+00,7ldvwi8jh
4jdfstkxi,Ente zilya ebinyansi.,Cows feed on pasture.,AGR,AGR-LVS,Present,Rutooro,2026-02-20 13:21:21.617+00,mu7n2sm1v
4jel5g5ek,EMIGASO YEBISORO BYOMUMAKA.,IMPORTANCES OF LIVE STOCK.,AGR,,,Rutooro,2026-02-24 12:54:16.993+00,6rp3pc92m
4lnxaqy1q,"Maginizyamu hiduroxidi, okukendeza kurumwa omuda.",Magnesium Trisilicate or magnesium hydroxide is used for stomach relief.,HLT,HLT-MOD,"Present ",Rutooro,2026-02-20 21:04:04.303+00,nus6yvak7
4qf5eh9xe,"Okutera ekinzo (vaccination), . Okukozesa ekinzi kurinda endwara nka oruseru, poliyo, na COVID-19.","Vaccination program.The use of vaccines to prevent infectious diseases such as measles, polio, and COVID-19 through scientifically developed immunization.",HLT,HLT-MOD,"Present ",Rutooro,2026-02-20 14:54:20.2+00,nus6yvak7
4tvcmk7sh,Emihendo y'ebintu n'obuhereza ekweyongera omwihanga,"The costs of goods and services are increasing in the country ",ECO,,,Rutooro,2026-02-24 06:54:18.227+00,lpys3ifza
4u15j661e,Obulya bw'enguzi bweyongirre omubasubuzi,The misuse of funds has increased among business men,ECO,,,Rutooro,2026-02-20 15:55:28.012+00,lpys3ifza
4xn4cidzl,Rekaho kunywa etaba habwobwomezi bwebihuhe.,Avoid smoking for health lungs.,HLT,HLT-PRE," Present ",Rutooro,2026-02-26 22:19:45.742+00,nus6yvak7
58ag4t3k2,"Kurya emere endungi kutaba edwara nke eryonsi omubaana abaato, Kandi kuretera emibiiri yabu kukura kurungi.",Eating balanced diet prevent disease such as malnutrition in children and it also help their body to grow well.,HLT,HLT-NUT,,Rutooro,2026-02-20 12:53:31.625+00,nus6yvak7
5aulza8qf,Byama kurungi ogarure obwongo bwawe buyaka. .,Sleep well to recharge your brain.,HLT,HLT-PRE,"Present ",Rutooro,2026-02-26 22:23:09.428+00,nus6yvak7
5bogb96x5,Kiliniki erimu obujajabi bw'abaana n'abaana abakyali bato muno.,The clinic offers pediatric service for children and infants.,HLT,," Present ",Rutooro,2026-03-04 12:33:01.319+00,nus6yvak7
5goc3ipon,"Okuhaburwa Kutaba endwara ezikuretebwa etekerezo, kandi koyambaho okukendeza endwara zobutamanya, nakahuka komunywerero (sirimu).","Guidance and Counselling helps to reduce mental health diseases such as stress,depression, anxieties and it has help to reduce diseases caused by caused by ignorance among the people and it also prevents the spread of diseases such HIV/AIDs.",HLT,HLT-MEN,,Rutooro,2026-02-20 13:55:02.434+00,nus6yvak7
5jr7k78aw,Ebintu ebinyakuroho kutunda omwezi gunu bitaito muno,Goodd available for sale this month are less,ECO,,,Rutooro,2026-02-22 12:58:01.325+00,lpys3ifza
5lcffvjby,Enju y'ente bagyeta orugo.,A cow house is called a kraal .,AGR,AGR-LVS,present,Rutooro,2026-02-21 06:27:34.046+00,mu7n2sm1v
5oeh5ldda,Empunu nizetaaga kulisibwa kurungi.,Pigs require proper feeding.,AGR,,Present,Rutooro,2026-02-20 17:19:25.682+00,mu7n2sm1v
5qk1x0nds,Embarabara mu matungo kutangwa no kufuhirra.,Ticks in livestock can be controlled by spraying .,AGR,AGR-LVS,Present,Rutooro,2026-02-20 10:23:12.472+00,mu7n2sm1v
5u50siff7,Karoli purchases his goods on credit,Karoli agura ebintu bye ha ibanja,ECO,,,Rutooro,2026-02-20 12:15:50.466+00,lpys3ifza
5ypg2kxur,Okuramuza kw'abaguzi kukyali hansi muno,"The bargaining power of buyers is still too low ",ECO,,,Rutooro,2026-02-24 06:50:53.65+00,lpys3ifza
5zrsq09s1,Okwesingagana omu buswezi kugira edwara ezikuretebwa obwamaraya nka akahuuka k'omunywerero (Sirimu).,Faithfulness among the married couples reduced the spread of diseases such as HIV/AIDs.,,,,Rutooro,2026-02-20 14:09:20.169+00,nus6yvak7
6103j7j07,"Kuha abantu abaine ebisobere amubiri gwabu, obusobozi, kubakwata kurungi, kubarorera, kubaha emirimo, obujajabi nka abantu abandi abataine ebisobere amubiri gwabu.""",Mainstreaming.,HLT,HLT-MEN,"Present ",Rutooro,2026-02-26 11:12:25.015+00,nus6yvak7
655expdo8,Ebirimwa babigesa bikuzire.,Crops are harvested when mature.,AGR,AGR-CRP,present,Rutooro,2026-02-21 07:36:53.873+00,mu7n2sm1v
6dw6qmm74,Obulyangaine omu by'obususbuzi kuretaho okufa,Trade disputes causes death,ECO,,,Rutooro,2026-02-24 10:14:24.751+00,lpys3ifza
6ed6xug9x,Embarabara mu matungo kutangwa no kufuhirra.,Ticks in livestock can be controlled by spraying .,AGR,AGR-LVS,Present,Rutooro,2026-02-20 10:23:25.092+00,mu7n2sm1v
6ghrskh4l,Peter arwaire kwidukana.,Peter is suffering from diarrhea.,HLT,,"Present ",Rutooro,2026-02-26 21:23:38.92+00,nus6yvak7
6pnpv1bs9,enzoka y'ebintu kuruga uganda nungi muno,the quality of products from uganda is nice,ECO,,,Rutooro,2026-02-24 07:36:01.43+00,lpys3ifza
6ps5rnuql,Embwa erinda amaka gaitu.,A dog safeguards our homes.,AGR,,,Rutooro,2026-02-24 12:03:03.188+00,6rp3pc92m
6sjohgmvi,Maria arweire Kansa y'amabere.,Mary is suffering from breast cancer.,HLT,,"Present ",Rutooro,2026-02-26 10:12:50.803+00,nus6yvak7
704p4ocuq,Nituteekaho obwinganiza.,we put advocate equal rights.,NAR,NAR-PER,Present,Rutooro,2026-02-24 08:49:09.802+00,7ldvwi8jh
75rqpup72,Ekyana kwente  bakweta encwamutwe.,A young one of a cow is called a calf.,AGR,AGR-LVS,Present,Rutooro,2026-02-20 07:20:25.754+00,mu7n2sm1v
76la6ydoa,Nkunihira empunu egyo egya kuba neyenda empaya omwomwezi gunu.,I hope that gilt will be on heat this month.,AGR,,,Rutooro,2026-02-24 12:52:17.177+00,6rp3pc92m
7b1pa3h94,Haroho okwikiraniza hagati y'amahanga hali emihendo y'emotoka,"There is negotiation among countries about the prices of cars ",ECO,,,Rutooro,2026-02-21 11:51:26.375+00,lpys3ifza
7dmfbc3m1,Abasubuzi abakukira bahura sente zabu omwibwekero,"Most traders keep their money on the bank ",ECO,,,Rutooro,2026-02-20 12:19:09.426+00,lpys3ifza
7gg96ny35,"Ebyahuro by'emibu nibyo nka; amaizi agasandaire, ebisaka, ebibira.","Sources of mosquitoes are; stagnant water, bush, forest.",HLT,,"Present ",Rutooro,2026-02-26 09:40:33.121+00,nus6yvak7
7mbaigyvx,Nyine amatungo mayinji nka eitaka.,I own different riches like land.,AGR,,,Rutooro,2026-02-24 09:23:32.052+00,6rp3pc92m
7saqbuff0,Kootamu etaba omuswija gw'emibu.,Coartem such as lumefantrine and Artemether treats malaria.,HLT,HLT-MOD,"Present ",Rutooro,2026-02-20 20:47:00.521+00,nus6yvak7
