english,lunyoro
expression of surprise shock admiration,mawe
expression of surprise,hai
expression of surprise shock,awe
expression of sympathy appreciation,bambi
expression of sympathy,ai bambi
expression of surprise admiration,ee
expression of satisfaction,haakiri
expression of surprise 2,cucu
expression of sympathy 2,mpora
expression of surprise anger fear pleasure,leero
expression of appealing pity for oneself,nyaburaiwe
expression of pity sadness,nyaaburanyowe
expression of surprise shock disappointment,mahano
expression of kindness appealing admiration,caali
appealing to someone reminding of mothers clan,ndayaawe
appealing swearing someone could be your child,ninkakulye
swearing at someone of the same mother,ninakambule nyoko
swearing at someone of the same father,ninakambule so
expression of pity or admiration,nyaaburoogu
expression of admiration pity appeal disappointment pain,boojo
expression of appealing,mara boojo
expression of assurance satisfaction,ego
expression of assurance satisfaction dissatisfaction,nukwo
expression of doubt,manyeki
expression of surprise doubt negation,nga
expression of negation,busa
expression of surprise doubt negation 2,nangwa
expression of surprise shock pity,taata we
my God expression of surprise shock displeasure,Ruhanga wange
indeed,Weza
thank you,Weebale
expression of surprise shock 2,hee
expression of surprise 3,gamba
expression of surprise disbelief swear,dahira
expression of surprise shock disappointment 2,ka mahano
expression of surprise pity it is bad,ka kibi
enough,bbaasi
expression of pity,kooboine
wow,mawe
oh my,mawe
oh no,awe
poor thing,bambi
yes,ego
no,nangwa
not at all,busa
oh God,Ruhanga wange
thank you very much,Weebale muno
well done,haakiri
