english,lunyoro
leaving very early in the morning,kuburorra mu rwigi
watching over a dying person,baroleriire ha liiso
running as fast as possible,kucweke nteho ekiti
walking hurriedly and excitedly,kurubata atakincwa
making someone do what he wanted to do,kusindika asitamire
walking very fast and in a concentrated manner,kugenda obutarora nyuma
leaving in great hurry,kugenda atabijwaire
dissatisfied worried,omutima guli enyuma
satisfied contented,omutima gwezire
following the world moving without much planning,kugendera mu kasindikaine
spend the night suffering as if in prison,kuraara kaburamurro
joking talking playfully with a young child,kujuma amaijukuru
waiting for somebody with anxiety,amaiso kugahanga enkiro
disappear quietly,kukwata ogwa timbabaine
arrive in panic and anxiety,kwija naamaga
express pleasure discreetly,kusekera mu kooti mu binkwaha
too beautiful to be exposed,kutarorwa izooba
effect of great surprise,kuteera akahuno
talk carelessly,garama nkwigate
not affirming oneself behave as if one is nothing,ncwera nyaatire kunu
behaving without restraint,kukwata amaiso mungaro
acting carelessly,kukwata ebirandakwata
being on tension,kwemerra ha bunkenke
shamelessness,amaiso ga kimpenkirye
talking with lack of concern,kubaza ebiigurwinyuma
walking anxiously and diligently,kurora obutengyambone
as fast as possible,maguru nkakwimaki
laughing with great happiness,kuseka ekihiinihiini
spent night in anxiety,kuraara ekitabu bukiizi
speak carelessly and without concern,kubaza binkwatiireki
relaxing without any worry,kutagarra nka Nyineeka amazire amusoro
acting with all ones strength,kwehayo nk'azaara akifu
he left very early in the morning,yaburorra mu rwigi
they were watching over a dying person,baroleriire ha liiso
she ran as fast as possible,yakucweke nteho ekiti
he walked hurriedly and excitedly,yakurubata atakincwa
he left in great hurry,yagenda atabijwaire
I am dissatisfied and worried,omutima gwange guli enyuma
I am satisfied and contented,omutima gwange gwezire
he disappeared quietly,yakwata ogwa timbabaine
she arrived in panic and anxiety,yaija naamaga
he is shameless,ayina amaiso ga kimpenkirye
