word,definitionEnglish,definitionNative,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,dialect,pos,domain
okukora,using effort to do somethings i.e doing regular tasks duties to achieve purpose.,kukozesa amaani nokora omulimo nukwo /oihemu ekigedererwa.,Asiiba nakora mukatale nukwo asobole kurolerra ekaye .,He spends his day working at the market to support his family.,Nibakora namaani nukwo batunge ebyokulya birukumara omuka yabo .,They are working very hard so that they can have enough food at home.,Mixed,V,DLY
Hamulyango,Siting room,Ekisika ky'okwekaramu,Baikarire hamulyango,they are seated in the siting room,Tugenda hamulyango,lets move to the siting room,Mixed,N,DLY
Omukiina,The hole,A pit hole,Amulekere nagwa mukiina.,He makes her fall in a big hole.,Wakame erekere warugo nagwa omukiina,The hare left the leopard fall into a deep hole.,Mixed,V,NAR
Emyandara,Rocks,Amabaale agagumire muno mubuhangwanugo gaba musingi gw'ensozi.,"Kyaaka haliyo emyandara nyingi, abantu bagikozesa kwanikaho.",There are many rocks in kyaaka and people use them to dry their food.,Abantu baira bahesaaga ebikwaatwa ebimu kuruga mumabaale egemengo.,People of long ag shaped stones to make grinding stones.,Mixed,N,ENV
kusagika,To Support,Kusagika,Ntubasagika,We are supporting them,Tuli basagiki babo,we are their support,Mixed,V,DLY
Kutondora,peeling,kutondora ebitooke,Mbaire nintondora ebitooke.,I have been peeling bananas.,Abaana nibatondora ebitooke mukicumbiro.,The children are peeling bananas in the kitchen.,Mixed,V,DLY
kwekanga,to be scared,kutiina,wankanga,you make me scared,kukanga abantu nukwo orabeho.,to make people scared so that you go through.,Mixed,V,NAR
Kwesiiga,to smear,kwekuuba,"kwekuuba amagita ago goona, kiki ekibaireho?","to smear all that Vaseline , what happened?",omugole bamusiigire asemiire.,They have smearing the bride looks beautiful.,Mixed,V,NAR
Kutabangura itaka,land pollution,Kusisiskara kw'itaka okurumu rwooya orubi n'emiika emibi.,Kunaga ebisasiro hokasangire nikisiisa itaka muno.,Improper waste disposal can cause damage to our land.,Obuvera nebindi ebita rukujunda bisisire muno itaka ryaitu.,Plastic papers and materials whish can not rote have caused damage to our land.,Mixed,V,ENV
kuhata,peeling,kuihaho ebisusu,Abaisiki nibahata ebitooke.,Girls are peeling bananas.,Tomanyire kuhata ebitooke.,You don't know how to peel bananas.,Mixed,V,AGR
Enanasi,Pineapple,Ekijuma kyamahwa,Enanasi nosobora kugirya rundi kujungamu esande.,Pineapple can be eat or make a juice from it.,Enanasi kijuma kyomugaso muno habwomezi bwomuntu.,pineapple on people's lives is very important.,Mixed,N,DLY
Omuka,At home,Owaitu,Leka kwebwaga butoosa kubungira abantu baawe omuka.,Please never forget always to visit your relatives at home.,Eka kikuru muno ogitekege omuntegeka zaawe kubanza ezenkurakura.,Home is best ever put it in your first developing plans too.,Rutooro,N,NAR
Kutaha,To Fetch,Kutaha,She has gone to fetch water,Agenzire Kutaha amaizi,She is fetching fom the pot,Nataha amaizi mu nsoha,Mixed,N,DLY
Enyomyo,Pillar,Omuti,"Enyomyo yeka egenzire,omusaija owabaire enyuma yabulikintu takyaloho.","The pillar of this house has gone, the man who was behind everything is no more.",Araihire nkenyomyo omukicweka/omubantu kandi aheebwa ekitinisa abantu boona.,"He stood tall like a pillar in the community, respected by all.",Mixed,N,NAR
Nyaliriire,Laying/Lining,kubanzayo,Muhogo eyaliriire kalifuuha rundi esojo nenura muno.,The lined cassava with lemon grass is very sweet.,twalirre muhogo omukinaga.,let us lay the cassava in the cooking pot.,Rutooro,V,DLY
Orugo,A fence (a fence is a barrier made to provide security.),orukiingyo kukingiraa entahirizi,nyombekere orugo rwamaani kulinda eka yange.,I have built a strong fence to protect my home.,orugo rwemiti rwetoroire enju habwobulizi bw'eka.,the wood fence is strong enough for privacy.,Mixed,N,DLY
Ebizina Byenganokyo,Story Songs,Ebizina hagati yenganokyo,Oruganikyo ndwetegeriize habwokuba nekizina kyaarwe kizoboroire,The message in the story was well understood because the story's song supported it.,Ekizina Kyoruganikyo ruli kitwegeseze muno,The story song was very educational.,Mixed,N,ART
Obutini,unconfident,kwetinirra,Abo batini muno.,Those people are ever scared.,Baijwire obutini bwinji.,They are very fearful.,Mixed,V,DLY
makondere,"The royal dance ""amakondere",amazina agakahooho hamikoro y'bukama amakondere.,Omukama obwa igwira empango abatungwa batandika amakondere.,When the king started the drum all dancers started dancing.,Empango esisikaire habwokuba abteezi bamakondere tibabaireho.,The ceremony was about to slope because some trumpet blowers were absent.,Mixed,N,ART
Ekisembo,Gift,kisembo,Omuntu mukuru ampaire ekisembo kyesimo.,An elder gifted me a phone.,Abeegi batungire ekisembo kirungi.,Students received a nice gift.,Mixed,V,NAR
Kurarangya,Scattering(Spreading things over a wide area),"kurahiza, rahiza(ebintu nobinaganaga mukikaro kitali kimu)",Nararangya ebyakyo hona hona.,He is scattering flowers everywhere.,Omulimi abaire nararangya ekirisa musiri gwona.,The farmer was scattering manure allover the field.,Mixed,V,DLY
lyahurro,store,ekikaro ekyokwahuramu ebintu.,yahura ebicooli ebi mulyahurro.,Keep those maize in the store.,Tugende mulyahurro.,Let us go in the store.,Mixed,N,DLY
Kwetegereza,"understanding the ability to thinking carefully about information, ideas or situations and grasp their meaning.","kuba nokwecumitiriza okurukusobezesa kumanya ensonga, ebigambo omanye amakuru gabyo.",Kwecumitiriza kukonyera omutnu kukora encwamu y'amagezi.,Good understanding allows a person to make wise decisions.,Kwetegereza kurungi isomo kumusobozes kugarukamu ebikaguzo.,Proper understanding of lessons helped him to answer the questions.,Mixed,V,HIS
Ekitakuli,Sweet potatoes,Enkoora,Omukaikuru acumbire ebitakuli binuzire ebiri habihiimba.,The old woman cooked nice sweet potatoes with beans.,Ebitakuli tubikoza mumukubi gwebinyobwa nemikubi endi.,We use groundnuts and other types of source to eat sweet potatoes.,Mixed,N,CUL
Kufuhiira,Spraying,kukozesa emibazi etali emu nukwo oite obuhuka oburukusiisa emisiri yaitu.,Omukiikaro kyokwombera abandi bakozesa emibazi yokufuhiira.,The farmer use herbicides to spray weeds instead of weeding with hands.,Akafujiriza omubazi mwingi ebihimba bye byoona byayoma.,All her beans withered because she used an over doze to spray her garden of beans.,Mixed,N,ENV
Endemu,An axe for cutting wood,endemu y'okutema emiti,Endemu enkuru neyetaga omuhini.,The old axe needs a new handle.,Wegendereze nkoku oukukozesa endemu.,Be careful while using an axe.,Mixed,N,DLY
Kwitongola,pairing in dance(the action of a man choosing the best female dancer out of many),omusaija kakomayo omukazi arukuzina kurungi akazina nawe nayeyoleka nkoku ali musaija mukozi kwo woru nyege.,Abaisiki batongorwa abasaija.,Men select women to pair with in the dance.,Omusaija nawe atongora omukazi murunyege.,Its the man who selects a woman to dance with.,Mixed,V,ART
