id,word,dialect,definitionEnglish,definitionNative,pos,domain,subdomain,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,additionalSentences,relatedWords,nounClass,verbExtensions,tamMarkers,register,audience,sourceType,provenance,copyright,dateCreated,createdBy
009e4rvm4,Abanyaihembe,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
00p6b261u,Kwoya,Mixed,,,N,NAR,NAR-HIS,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-24 09:19:31.634+00,7ldvwi8jh
038qgwr1v,Ebigogo,Mixed,banana fibre,,N,AGR,,Ebigogo babikozesa kuboha ebintu.,Banana fibres are used for tying things.,Ebigogo abantu abandi babisakaza amaju.,Some people use banana fibre to roof their houses.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-20 08:37:34.312+00,wmqgng8ap
04o6hcodp,Ensozi,Mixed,mountain,kurga hamugera okatemba akamba nambere hatumbukire muno.,N,ENV,,Ensozi ziina omugaso hansisisa y'obwire n'okuleeta amaizi .,Mountains play a big role in climate and water systems.,Ensozi zahura amaizi agagenda mu bisaru.,Mountains store water which flows to the rivers.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 15:51:02.381+00,z7cmq5grs
05gn9a8fq,Entonge,Mixed,lump of cooked millet,,N,DLY,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 13:30:38.138+00,1lzzop9e4
06pkzrsxc,Timbigamba,Mixed," It is a name",Biferamunda,N,NAR,NAR-FOL,Ebintu kawabibaza otesiigire munywani wange nambere twakulire oku hakabyo omukairu yaikaraga nagamba ekigambokye ati ibara lyangeTimbigamba!!,"You're talking things without left, my friend, where I grew from there was an old woman was always saying her word that her name is Timbigamba!!","''Ebintu byona tibabigamba, nyitira eriso ha bintu obumu.''","
''All things are unsaid, i keep un eye on some things.''",[],Tingamba,,[],[],general,general,original_composition,,Project_License,2026-02-20 14:49:27.811+00,7ldvwi8jh
06r5qsem3,Abaisanza,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
07we8zd0f,Omwika,Mixed,Smoke,Omwika gwatwita boojo,V,,,"Enku zibaire mbisi nikyo omwika  guberiire mwingi mukicumbiro ",The smoke was too much in the kitchen because the firewood was not dray.,Ebinyasi mumusiri bibaire bingi byona babyokeze dora omwika,The grass in the garden were many so they are all burnt you see the smoke,[],"mwika, ekiika",,[],[],general,general,original_composition,,Project_License,2026-02-16 15:58:20.743+00,7ldvwi8jh
081kpij13,Entegeka,Mixed,Planning,,V,AGR,AGR-LVS,Kulima kwobiro binu nikusemerra entegeka nungi .,Farming of today needs careful planning.,Omulimi nasemerra kukozesa entegeka za sayansi.,A farmer needs to use modern methods of farming .,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 18:27:57.401+00,wmqgng8ap
09i6c7a8o,Abacwa,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
